Car_Name,Year,Present_Price,Kms_Driven,Fuel_Type,Seller_Type,Transmission,Owner,Selling_Price
Mahindra XUV500,2008,2.94,77097,Petrol,Dealer,Manual,0,1.08
Maruti Swift,2007,12.83,13331,Petrol,Dealer,Manual,1,3.79
Maruti Swift,2022,5.98,175363,CNG,Individual,Manual,3,3.67
Hyundai Verna,2010,14.72,94194,Diesel,Dealer,Manual,2,3.08
Hyundai Verna,2008,8.78,95165,CNG,Individual,Manual,3,2.84
Toyota Corolla,2007,12.16,169794,CNG,Individual,Manual,0,1.95
Maruti Alto,2014,19.74,66024,Petrol,Individual,Automatic,3,9.42
Toyota Corolla,2010,8.98,59921,CNG,Individual,Manual,1,3.23
Maruti Swift,2010,10.59,75765,CNG,Dealer,Automatic,0,2.69
Tata Nexon,2015,9.52,22350,Petrol,Individual,Manual,3,3.73
Honda City,2009,7.14,69651,CNG,Individual,Automatic,3,2.03
Hyundai Verna,2021,11.14,17351,Petrol,Dealer,Manual,3,6.67
Mahindra XUV500,2017,12.93,127696,CNG,Individual,Manual,0,7.24
Ford Figo,2013,15.95,94174,Petrol,Individual,Automatic,1,6.12
Honda City,2021,15.83,138085,Petrol,Individual,Manual,1,7.55
Maruti Alto,2022,19.19,144029,Petrol,Individual,Automatic,0,6.62
Mahindra XUV500,2014,6.69,68143,CNG,Dealer,Manual,3,3.7
Mahindra XUV500,2009,4.75,129592,CNG,Dealer,Automatic,3,2.3
Toyota Corolla,2011,14.98,109593,CNG,Individual,Automatic,3,3.4
Maruti Swift,2007,8.42,159221,CNG,Dealer,Manual,0,1.41
Toyota Corolla,2012,3.68,13234,Diesel,Dealer,Manual,2,1.65
Toyota Corolla,2022,4.82,154695,CNG,Individual,Manual,3,3.55
Maruti Swift,2008,4.2,117997,Diesel,Individual,Automatic,3,1.79
Tata Nexon,2008,3.56,195896,Diesel,Dealer,Manual,1,0.77
Mahindra XUV500,2009,9.88,78018,Diesel,Dealer,Manual,3,4.26
Tata Nexon,2008,3.39,146711,Petrol,Dealer,Manual,1,0.96
Tata Nexon,2011,17.63,20370,Petrol,Individual,Manual,3,4.94
Maruti Swift,2014,9.9,196497,CNG,Individual,Manual,1,3.31
Mahindra XUV500,2023,15.38,20979,CNG,Individual,Manual,0,9.7
